gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,2063,1024,2048,ck,3,0,18.9574,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,456.44,556.36,0.0
gfx950,256,2064,1024,2048,ck,3,0,19.0681,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,454.01,553.35,0.0
gfx950,256,2099,1024,2048,ck,3,0,19.1575,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,459.55,558.25,0.0
gfx950,256,2159,1024,2048,ck,3,0,19.3583,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,467.78,565.15,0.0
gfx950,256,2160,1024,2048,ck,3,0,19.2486,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,470.67,568.59,0.0
gfx950,256,2313,1024,2048,ck,3,0,19.4989,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,497.54,593.43,0.0
gfx950,256,2325,1024,2048,ck,3,0,19.3919,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,502.88,599.24,0.0
gfx950,256,3072,1024,2048,ck,0,0,19.7485,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,652.45,743.35,0.0
gfx950,256,3073,1024,2048,ck,0,0,20.5536,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,627.1,714.43,0.0
gfx950,256,3182,1024,2048,ck,0,0,20.701,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,644.72,730.91,0.0
gfx950,256,3183,1024,2048,ck,0,0,20.6856,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,645.4,731.65,0.0
gfx950,256,3847,1024,2048,ck,0,0,21.0898,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,765.08,846.59,0.0
gfx950,256,4096,1024,2048,ck,0,0,20.472,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,839.19,921.96,0.0
gfx950,256,4111,1024,2048,ck,2,0,27.7365,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,621.66,682.7,0.0
gfx950,256,4141,1024,2048,ck,2,0,28.083,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,618.47,678.66,0.0
gfx950,256,4142,1024,2048,ck,2,0,28.2149,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,615.73,675.63,0.0
gfx950,256,4345,1024,2048,ck,2,0,28.5133,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,639.15,697.72,0.0
gfx950,256,5105,1024,2048,ck,2,0,29.3576,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,729.35,783.69,0.0
gfx950,256,5121,1024,2048,ck,2,0,29.3782,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,731.12,785.37,0.0
